Target,Model,Train_MAE,Val_MAE,Test_MAE,Train_R2,Val_R2,Test_R2,Training_Time
eficiencia,LinearRegression,1.5818789241469252e-13,1.5886527648945048e-13,1.5886527648945048e-13,1.0,1.0,1.0,0.11757349967956543
eficiencia,Ridge,5.561972341619897e-05,5.569642714328822e-05,5.569642714328822e-05,0.999999999945499,0.9999999999454625,0.9999999999454625,3.4492549896240234
eficiencia,Lasso,0.00799416708402953,0.00799145644844217,0.00799145644844217,0.9999988743214383,0.9999988743168835,0.9999988743168835,4.200159549713135
eficiencia,ElasticNet,0.018064437968831875,0.018045949917841198,0.018045949917841198,0.9999942034890964,0.9999942420895893,0.9999942420895893,3.500030040740967
eficiencia,RandomForest,0.0007983002801874906,0.001052030327213001,0.001052030327213001,0.9999961265009745,0.9999887282972126,0.9999887282972126,1000.8084902763367
eficiencia,GradientBoosting,0.001748308706424352,0.0017564307088159647,0.0017564307088159647,0.9999999349423567,0.9999999347120105,0.9999999347120105,731.179265499115
eficiencia,XGBoost,0.05080473335050948,0.05142019677781698,0.05142019677781698,0.999885066029285,0.9998804115004967,0.9998804115004967,27.8449285030365
eficiencia,LightGBM,0.05197270881178192,0.05296758481173832,0.05296758481173832,0.9998598188887095,0.9998361178050259,0.9998361178050259,21.848414421081543
eficiencia,SVR,0.024039673761560024,0.024246485609970392,0.024246485609970392,0.9999898311040119,0.999989655434461,0.999989655434461,1517.1480770111084
eficiencia,MLPRegressor,0.00998592680318114,0.009792730202903941,0.009792730202903941,0.9999982137518072,0.999998276076314,0.999998276076314,138.68169260025024
fotoluminiscencia,LinearRegression,2.807228982500536,2.803228463212849,2.803228463212849,0.9022492044209975,0.9020278365113549,0.9020278365113549,0.08744549751281738
fotoluminiscencia,Ridge,2.8072580322063554,2.8027105345106658,2.8027105345106658,0.9022345328636071,0.9020373082331264,0.9020373082331264,0.46642518043518066
fotoluminiscencia,Lasso,2.808439033713111,2.803763870448559,2.803763870448559,0.9021841006184834,0.9019778298997438,0.9019778298997438,5.56683087348938
fotoluminiscencia,ElasticNet,2.808367156746704,2.803694104882503,2.803694104882503,0.9021869273653006,0.9019805115159547,0.9019805115159547,14.534401655197144
fotoluminiscencia,RandomForest,1.2071880059952964,1.208880242046584,1.208880242046584,0.9812298414664441,0.981111588589379,0.981111588589379,1131.6262452602386
fotoluminiscencia,GradientBoosting,2.740340510651166,2.7398342972728056,2.7398342972728056,0.9068558017830237,0.9064503836906919,0.9064503836906919,615.6162223815918
fotoluminiscencia,XGBoost,2.6461782230437865,2.648622095607994,2.648622095607994,0.9130915749688724,0.9124055421162949,0.9124055421162949,26.919183492660522
fotoluminiscencia,LightGBM,2.650492562706251,2.6527601552091364,2.6527601552091364,0.9125817564585632,0.9119413401062386,0.9119413401062386,24.764127254486084
fotoluminiscencia,SVR,2.8064448186710265,2.8014723629101477,2.8014723629101477,0.9021918592139169,0.9020189612641697,0.9020189612641697,2898.225537776947
fotoluminiscencia,MLPRegressor,2.766099728925687,2.758306506752695,2.758306506752695,0.905288287001546,0.9053662949185555,0.9053662949185555,90.3781635761261
